associated/VBN with/IN AIDS/NN that/WDT often/RB those/DT associatedwith/VBNIN withAIDS/INNN AIDSthat/NNWDT thatoften/WDTRB oftenthose/RBDT associatedwithAIDS/VBNINNN withAIDSthat/INNNWDT AIDSthatoften/NNWDTRB thatoftenthose/WDTRBDT 2555505
_/NNP _/NNP This/NNP that/IN you/PRP can/MD __/NNPNNP _This/NNPNNP Thisthat/NNPIN thatyou/INPRP youcan/PRPMD __This/NNPNNPNNP _Thisthat/NNPNNPIN Thisthatyou/NNPINPRP thatyoucan/INPRPMD 2555505
_/NNP _/NNP This/NNP that/IN around/IN 70/CD __/NNPNNP _This/NNPNNP Thisthat/NNPIN thataround/ININ around70/INCD __This/NNPNNPNNP _Thisthat/NNPNNPIN Thisthataround/NNPININ thataround70/ININCD U
in/IN the/DT home/NN that/IN family/NN members/NNS inthe/INDT thehome/DTNN homethat/NNIN thatfamily/INNN familymembers/NNNNS inthehome/INDTNN thehomethat/DTNNIN homethatfamily/NNINNN thatfamilymembers/INNNNNS 2555505
it/PRP represents/VBZ or/CC an/DT Eastern/JJ critic/NN itrepresents/PRPVBZ representsor/VBZCC oran/CCDT anEastern/DTJJ Easterncritic/JJNN itrepresentsor/PRPVBZCC representsoran/VBZCCDT oranEastern/CCDTJJ anEasterncritic/DTJJNN 2555502
picture/NN is/VBZ not/RB to/TO be/VB pleasure/NN pictureis/NNVBZ isnot/VBZRB notto/RBTO tobe/TOVB bepleasure/VBNN pictureisnot/NNVBZRB isnotto/VBZRBTO nottobe/RBTOVB tobepleasure/TOVBNN 2555504
strength/NN which/WDT is/VBZ to/TO secure/VB American/NNP strengthwhich/NNWDT whichis/WDTVBZ isto/VBZTO tosecure/TOVB secureAmerican/VBNNP strengthwhichis/NNWDTVBZ whichisto/WDTVBZTO istosecure/VBZTOVB tosecureAmerican/TOVBNNP 2555504
-LRB-/-LRB- the/DT name/NN half/NN -/: caste/NN -LRB-the/-LRB-DT thename/DTNN namehalf/NNNN half-/NN: -caste/:NN -LRB-thename/-LRB-DTNN thenamehalf/DTNNNN namehalf-/NNNN: half-caste/NN:NN 2555503
would/MD appear/VB to/TO something/NN more/JJR than/IN wouldappear/MDVB appearto/VBTO tosomething/TONN somethingmore/NNJJR morethan/JJRIN wouldappearto/MDVBTO appeartosomething/VBTONN tosomethingmore/TONNJJR somethingmorethan/NNJJRIN 2555506
and/CC may/MD be/VB to/TO be/VB _/CD andmay/CCMD maybe/MDVB beto/VBTO tobe/TOVB be_/VBCD andmaybe/CCMDVB maybeto/MDVBTO betobe/VBTOVB tobe_/TOVBCD 2555504
We/PRP may/MD be/VB to/TO think/VB that/DT Wemay/PRPMD maybe/MDVB beto/VBTO tothink/TOVB thinkthat/VBDT Wemaybe/PRPMDVB maybeto/MDVBTO betothink/VBTOVB tothinkthat/TOVBDT 2555504
what/WP does/VBZ he/PRP by/IN unbearable/JJ lightness/NN whatdoes/WPVBZ doeshe/VBZPRP heby/PRPIN byunbearable/INJJ unbearablelightness/JJNN whatdoeshe/WPVBZPRP doesheby/VBZPRPIN hebyunbearable/PRPINJJ byunbearablelightness/INJJNN 2555502
know/VB what/WP Sabina/NNP here/RB _/FW _/FW knowwhat/VBWP whatSabina/WPNNP Sabinahere/NNPRB here_/RBFW __/FWFW knowwhatSabina/VBWPNNP whatSabinahere/WPNNPRB Sabinahere_/NNPRBFW here__/RBFWFW 2555502
be/VB made/VBN to/TO different/JJ things/NNS and/CC bemade/VBVBN madeto/VBNTO todifferent/TOJJ differentthings/JJNNS thingsand/NNSCC bemadeto/VBVBNTO madetodifferent/VBNTOJJ todifferentthings/TOJJNNS differentthingsand/JJNNSCC 2555503
-/: pieces/NNS which/WDT so/RB much/RB to/TO -pieces/:NNS pieceswhich/NNSWDT whichso/WDTRB somuch/RBRB muchto/RBTO -pieceswhich/:NNSWDT pieceswhichso/NNSWDTRB whichsomuch/WDTRBRB somuchto/RBRBTO 2555506
the/DT door/NN could/MD the/DT end/NN for/IN thedoor/DTNN doorcould/NNMD couldthe/MDDT theend/DTNN endfor/NNIN thedoorcould/DTNNMD doorcouldthe/NNMDDT couldtheend/MDDTNN theendfor/DTNNIN 2555505
that/DT must/MD be/VB to/TO characterise/VB the/DT thatmust/DTMD mustbe/MDVB beto/VBTO tocharacterise/TOVB characterisethe/VBDT thatmustbe/DTMDVB mustbeto/MDVBTO betocharacterise/VBTOVB tocharacterisethe/TOVBDT 2555504
Graham/NNP who/WP is/VBZ to/TO be/VB amusingly/RB Grahamwho/NNPWP whois/WPVBZ isto/VBZTO tobe/TOVB beamusingly/VBRB Grahamwhois/NNPWPVBZ whoisto/WPVBZTO istobe/VBZTOVB tobeamusingly/TOVBRB 2555504
Jenny/NNP who/WP is/VBZ to/TO be/VB a/DT Jennywho/NNPWP whois/WPVBZ isto/VBZTO tobe/TOVB bea/VBDT Jennywhois/NNPWPVBZ whoisto/WPVBZTO istobe/VBZTOVB tobea/TOVBDT 2555504
But/CC are/VBP we/PRP to/TO sympathise/VB with/IN Butare/CCVBP arewe/VBPPRP weto/PRPTO tosympathise/TOVB sympathisewith/VBIN Butarewe/CCVBPPRP areweto/VBPPRPTO wetosympathise/PRPTOVB tosympathisewith/TOVBIN 2555504
n't/RB think/VB this/DT that/IN there/EX is/VBZ n'tthink/RBVB thinkthis/VBDT thisthat/DTIN thatthere/INEX thereis/EXVBZ n'tthinkthis/RBVBDT thinkthisthat/VBDTIN thisthatthere/DTINEX thatthereis/INEXVBZ 2555505
Know/NNP what/WP I/PRP I/PRP 'm/VBP just/RB Knowwhat/NNPWP whatI/WPPRP II/PRPPRP I'm/PRPVBP 'mjust/VBPRB KnowwhatI/NNPWPPRP whatII/WPPRPPRP II'm/PRPPRPVBP I'mjust/PRPVBPRB 2555502
:/: What/WP d'you/VBP ye/PRP deny/VB ye/PRP :What/:WP Whatd'you/WPVBP d'youye/VBPPRP yedeny/PRPVB denyye/VBPRP :Whatd'you/:WPVBP Whatd'youye/WPVBPPRP d'youyedeny/VBPPRPVB yedenyye/PRPVBPRP 2555502
know/VB what/WP Paddy/NNP said/VBD Davie/NNP _/NNP knowwhat/VBWP whatPaddy/WPNNP Paddysaid/NNPVBD saidDavie/VBDNNP Davie_/NNPNNP knowwhatPaddy/VBWPNNP whatPaddysaid/WPNNPVBD PaddysaidDavie/NNPVBDNNP saidDavie_/VBDNNPNNP 2555502
know/VB what/WP you/PRP Paddy/NNP _/NNP _/NNP knowwhat/VBWP whatyou/WPPRP youPaddy/PRPNNP Paddy_/NNPNNP __/NNPNNP knowwhatyou/VBWPPRP whatyouPaddy/WPPRPNNP youPaddy_/PRPNNPNNP Paddy__/NNPNNPNNP 2555502
in/IN the/DT profession/NN that/IN you/PRP have/VBP inthe/INDT theprofession/DTNN professionthat/NNIN thatyou/INPRP youhave/PRPVBP intheprofession/INDTNN theprofessionthat/DTNNIN professionthatyou/NNINPRP thatyouhave/INPRPVBP 2555505
_/NNP _/NNP This/NNP that/IN there/EX is/VBZ __/NNPNNP _This/NNPNNP Thisthat/NNPIN thatthere/INEX thereis/EXVBZ __This/NNPNNPNNP _Thisthat/NNPNNPIN Thisthatthere/NNPINEX thatthereis/INEXVBZ 2555505
towards/IN Wagner/NNP I/PRP a/DT free/JJ press/NN towardsWagner/INNNP WagnerI/NNPPRP Ia/PRPDT afree/DTJJ freepress/JJNN towardsWagnerI/INNNPPRP WagnerIa/NNPPRPDT Iafree/PRPDTJJ afreepress/DTJJNN 2555502
that/IN now/RB I/PRP now/RB that/IN most/JJS thatnow/INRB nowI/RBPRP Inow/PRPRB nowthat/RBIN thatmost/INJJS thatnowI/INRBPRP nowInow/RBPRPRB Inowthat/PRPRBIN nowthatmost/RBINJJS 2555502
finals/NNS company/NN usually/RB there/EX are/VBP some/DT finalscompany/NNSNN companyusually/NNRB usuallythere/RBEX thereare/EXVBP aresome/VBPDT finalscompanyusually/NNSNNRB companyusuallythere/NNRBEX usuallythereare/RBEXVBP therearesome/EXVBPDT 2555503
pity/NN as/IN it/PRP that/IN students/NNS find/VBP pityas/NNIN asit/INPRP itthat/PRPIN thatstudents/INNNS studentsfind/NNSVBP pityasit/NNINPRP asitthat/INPRPIN itthatstudents/PRPINNNS thatstudentsfind/INNNSVBP 2555505
