A/DT new/JJ MA/NN in/IN human/JJ rights/NNS Anew/DTJJ newMA/JJNN MAin/NNIN inhuman/INJJ humanrights/JJNNS AnewMA/DTJJNN newMAin/JJNNIN MAinhuman/NNINJJ inhumanrights/INJJNNS 66 degree%1:10:00::
preparation/NN for/IN research/NN in/IN Law/NNP Philosophy/NNP preparationfor/NNIN forresearch/INNN researchin/NNIN inLaw/INNNP LawPhilosophy/NNPNNP preparationforresearch/NNINNN forresearchin/INNNIN researchinLaw/NNINNNP inLawPhilosophy/INNNPNNP 62 degree%1:10:00::
it/PRP underlies/VBZ the/DT of/IN attention/NN being/NN itunderlies/PRPVBZ underliesthe/VBZDT theof/DTIN ofattention/INNN attentionbeing/NNNN itunderliesthe/PRPVBZDT underliestheof/VBZDTIN theofattention/DTINNN ofattentionbeing/INNNNN 84 degree%1:07:00::
where/WRB a/DT high/NN of/IN interplay/NN between/IN wherea/WRBDT ahigh/DTNN highof/NNIN ofinterplay/INNN interplaybetween/NNIN whereahigh/WRBDTNN ahighof/DTNNIN highofinterplay/NNINNN ofinterplaybetween/INNNIN 102 degree%1:07:00::
invested/VBN with/IN a/DT of/IN respect/NN deriving/VBG investedwith/VBNIN witha/INDT aof/DTIN ofrespect/INNN respectderiving/NNVBG investedwitha/VBNINDT withaof/INDTIN aofrespect/DTINNN ofrespectderiving/INNNVBG 97 degree%1:07:00::
generalises/NNS :/: the/DT of/IN consciousness/NN that/IN generalises:/NNS: :the/:DT theof/DTIN ofconsciousness/INNN consciousnessthat/NNIN generalises:the/NNS:DT :theof/:DTIN theofconsciousness/DTINNN ofconsciousnessthat/INNNIN 57 degree%1:07:00::
possess/VB a/DT noticeable/JJ of/IN competence/NN and/CC possessa/VBDT anoticeable/DTJJ noticeableof/JJIN ofcompetence/INNN competenceand/NNCC possessanoticeable/VBDTJJ anoticeableof/DTJJIN noticeableofcompetence/JJINNN ofcompetenceand/INNNCC 83 degree%1:07:00::
natural/JJ resources/NNS the/DT of/IN panic/NN can/NN naturalresources/JJNNS resourcesthe/NNSDT theof/DTIN ofpanic/INNN paniccan/NNNN naturalresourcesthe/JJNNSDT resourcestheof/NNSDTIN theofpanic/DTINNN ofpaniccan/INNNNN 82 degree%1:07:00::
out/IN on/IN a/DT of/IN publicity/NN _/NN outon/ININ ona/INDT aof/DTIN ofpublicity/INNN publicity_/NNNN outona/ININDT onaof/INDTIN aofpublicity/DTINNN ofpublicity_/INNNNN 66 degree%1:07:00::
out/IN on/IN a/DT of/IN publicity/NN _/NN outon/ININ ona/INDT aof/DTIN ofpublicity/INNN publicity_/NNNN outona/ININDT onaof/INDTIN aofpublicity/DTINNN ofpublicity_/INNNNN 66 degree%1:26:01::
questioned/VBD only/RB the/DT of/IN state/NN intervention/NN questionedonly/VBDRB onlythe/RBDT theof/DTIN ofstate/INNN stateintervention/NNNN questionedonlythe/VBDRBDT onlytheof/RBDTIN theofstate/DTINNN ofstateintervention/INNNNN 78 degree%1:07:00::
and/CC to/TO varying/VBG nationalist/JJ and/CC loyalist/JJ andto/CCTO tovarying/TOVBG varyingnationalist/VBGJJ nationalistand/JJCC andloyalist/CCJJ andtovarying/CCTOVBG tovaryingnationalist/TOVBGJJ varyingnationalistand/VBGJJCC nationalistandloyalist/JJCCJJ 47 degree%1:07:00::
of/IN a/DT proportionate/NN of/IN violence/NN to/TO ofa/INDT aproportionate/DTNN proportionateof/NNIN ofviolence/INNN violenceto/NNTO ofaproportionate/INDTNN aproportionateof/DTNNIN proportionateofviolence/NNINNN ofviolenceto/INNNTO 73 degree%1:07:00::
statelet/VBN by/IN whatever/WDT of/IN force/NN proves/VBZ stateletby/VBNIN bywhatever/INWDT whateverof/WDTIN offorce/INNN forceproves/NNVBZ stateletbywhatever/VBNINWDT bywhateverof/INWDTIN whateverofforce/WDTINNN offorceproves/INNNVBZ 64 degree%1:07:00::
