great/JJ seeker/NN of/IN in/IN books/NNS but/CC greatseeker/JJNN seekerof/NNIN ofin/ININ inbooks/INNNS booksbut/NNSCC greatseekerof/JJNNIN seekerofin/NNININ ofinbooks/ININNNS inbooksbut/INNNSCC 113 shelter%1:26:00::
_/FW _/FW The/DT provided/VBN by/IN my/PRP$ __/FWFW _The/FWDT Theprovided/DTVBN providedby/VBNIN bymy/INPRP$ __The/FWFWDT _Theprovided/FWDTVBN Theprovidedby/DTVBNIN providedbymy/VBNINPRP$ 36 shelter%1:06:00::
in/IN a/DT night/NN and/CC you/PRP then/RB ina/INDT anight/DTNN nightand/NNCC andyou/CCPRP youthen/PRPRB inanight/INDTNN anightand/DTNNCC nightandyou/NNCCPRP andyouthen/CCPRPRB 57 shelter%1:06:00::
_/NNP _/NNP The/NNP that/IN Jenny/NNP had/VBD __/NNPNNP _The/NNPNNP Thethat/NNPIN thatJenny/INNNP Jennyhad/NNPVBD __The/NNPNNPNNP _Thethat/NNPNNPIN ThethatJenny/NNPINNNP thatJennyhad/INNNPVBD 79 shelter%1:06:00::
up/RB at/IN the/DT _/NNP _/NNP _/NNP upat/RBIN atthe/INDT the_/DTNNP __/NNPNNP __/NNPNNP upatthe/RBINDT atthe_/INDTNNP the__/DTNNPNNP ___/NNPNNPNNP 26 shelter%1:06:00::
rang/VBD that/DT night/NN you/PRP were/VBD at/IN rangthat/VBDDT thatnight/DTNN nightyou/NNPRP youwere/PRPVBD wereat/VBDIN rangthatnight/VBDDTNN thatnightyou/DTNNPRP nightyouwere/NNPRPVBD youwereat/PRPVBDIN 55 shelter%1:06:00::
living/NN walls/NNS for/IN and/CC privacy/NN in/IN livingwalls/NNNNS wallsfor/NNSIN forand/INCC andprivacy/CCNN privacyin/NNIN livingwallsfor/NNNNSIN wallsforand/NNSINCC forandprivacy/INCCNN andprivacyin/CCNNIN 45 shelter%1:06:00::
special/JJ areas/NNS providing/VBG for/IN delicate/JJ plants/NNS specialareas/JJNNS areasproviding/NNSVBG providingfor/VBGIN fordelicate/INJJ delicateplants/JJNNS specialareasproviding/JJNNSVBG areasprovidingfor/NNSVBGIN providingfordelicate/VBGINJJ fordelicateplants/INJJNNS 77 shelter%1:06:01::
plants/NNS with/IN essential/JJ for/IN a/DT distance/NN plantswith/NNSIN withessential/INJJ essentialfor/JJIN fora/INDT adistance/DTNN plantswithessential/NNSINJJ withessentialfor/INJJIN essentialfora/JJINDT foradistance/INDTNN 76 shelter%1:06:01::
molluscs/NNS that/WDT often/RB by/IN day/NN beneath/IN molluscsthat/NNSWDT thatoften/WDTRB oftenby/RBIN byday/INNN daybeneath/NNIN molluscsthatoften/NNSWDTRB thatoftenby/WDTRBIN oftenbyday/RBINNN bydaybeneath/INNNIN 61 shelter%1:06:01::
it/PRP in/IN the/DT of/IN our/PRP$ homes/NNS itin/PRPIN inthe/INDT theof/DTIN ofour/INPRP$ ourhomes/PRP$NNS itinthe/PRPINDT intheof/INDTIN theofour/DTINPRP$ ofourhomes/INPRP$NNS 82 shelter%1:06:00::
it/PRP in/IN the/DT of/IN our/PRP$ homes/NNS itin/PRPIN inthe/INDT theof/DTIN ofour/INPRP$ ourhomes/PRP$NNS itinthe/PRPINDT intheof/INDTIN theofour/DTINPRP$ ofourhomes/INPRP$NNS 82 shelter%1:26:00::
stopped/VBN in/IN the/DT of/IN a/DT stone/NN stoppedin/VBNIN inthe/INDT theof/DTIN ofa/INDT astone/DTNN stoppedinthe/VBNINDT intheof/INDTIN theofa/DTINDT ofastone/INDTNN 65 shelter%1:06:00::
hostels/NNS or/CC night/NN _/NNP _/NNP _/NNP hostelsor/NNSCC ornight/CCNN night_/NNNNP __/NNPNNP __/NNPNNP hostelsornight/NNSCCNN ornight_/CCNNNNP night__/NNNNPNNP ___/NNPNNPNNP 27 shelter%1:06:00::
and/CC a/DT walled/VBN along/IN with/IN the/DT anda/CCDT awalled/DTVBN walledalong/VBNIN alongwith/ININ withthe/INDT andawalled/CCDTVBN awalledalong/DTVBNIN walledalongwith/VBNININ alongwiththe/ININDT 131 shelter%1:06:00::
heads/NNS provided/VBD perfect/JJ for/IN all/DT eventualities/NNS headsprovided/NNSVBD providedperfect/VBDJJ perfectfor/JJIN forall/INDT alleventualities/DTNNS headsprovidedperfect/NNSVBDJJ providedperfectfor/VBDJJIN perfectforall/JJINDT foralleventualities/INDTNNS 71 shelter%1:26:00::
to/TO offer/VB overnight/JJ for/IN anyone/NN in/IN tooffer/TOVB offerovernight/VBJJ overnightfor/JJIN foranyone/INNN anyonein/NNIN toofferovernight/TOVBJJ offerovernightfor/VBJJIN overnightforanyone/JJINNN foranyonein/INNNIN 76 shelter%1:06:00::
home/NN into/IN a/DT for/IN unwanted/JJ Rotties/NNS homeinto/NNIN intoa/INDT afor/DTIN forunwanted/INJJ unwantedRotties/JJNNS homeintoa/NNINDT intoafor/INDTIN aforunwanted/DTINJJ forunwantedRotties/INJJNNS 48 shelter%1:06:00::
for/IN food/NN and/CC including/VBG the/DT red/NN forfood/INNN foodand/NNCC andincluding/CCVBG includingthe/VBGDT thered/DTNN forfoodand/INNNCC foodandincluding/NNCCVBG andincludingthe/CCVBGDT includingthered/VBGDTNN 65 shelter%1:06:01::
Mike/NNP Ward/NNP the/DT 's/POS manager/NN said/VBD MikeWard/NNPNNP Wardthe/NNPDT the's/DTPOS 'smanager/POSNN managersaid/NNVBD MikeWardthe/NNPNNPDT Wardthe's/NNPDTPOS the'smanager/DTPOSNN 'smanagersaid/POSNNVBD 76 shelter%1:06:00::
at/IN hand/NN as/IN from/IN the/DT Belgian/JJ athand/INNN handas/NNIN asfrom/ININ fromthe/INDT theBelgian/DTJJ athandas/INNNIN handasfrom/NNININ asfromthe/ININDT fromtheBelgian/INDTJJ 151 shelter%1:06:01::
Salvador/NNP from/IN seeking/VBG in/IN Honduras/NNP _/NNP Salvadorfrom/NNPIN fromseeking/INVBG seekingin/VBGIN inHonduras/INNNP Honduras_/NNPNNP Salvadorfromseeking/NNPINVBG fromseekingin/INVBGIN seekinginHonduras/VBGINNNP inHonduras_/INNNPNNP 110 shelter%1:26:00::
to/TO find/VB some/DT in/IN a/DT dug/VBN tofind/TOVB findsome/VBDT somein/DTIN ina/INDT adug/DTVBN tofindsome/TOVBDT findsomein/VBDTIN someina/DTINDT inadug/INDTVBN 92 shelter%1:06:01::
trees/NNS to/TO the/DT of/IN the/DT farm/NN treesto/NNSTO tothe/TODT theof/DTIN ofthe/INDT thefarm/DTNN treestothe/NNSTODT totheof/TODTIN theofthe/DTINDT ofthefarm/INDTNN 80 shelter%1:06:01::
and/CC into/IN the/DT of/IN the/DT waiting/NN andinto/CCIN intothe/INDT theof/DTIN ofthe/INDT thewaiting/DTNN andintothe/CCINDT intotheof/INDTIN theofthe/DTINDT ofthewaiting/INDTNN 54 shelter%1:26:00::
in/IN Markstadt/NNP a/DT which/WDT has/VBZ beds/NNS inMarkstadt/INNNP Markstadta/NNPDT awhich/DTWDT whichhas/WDTVBZ hasbeds/VBZNNS inMarkstadta/INNNPDT Markstadtawhich/NNPDTWDT awhichhas/DTWDTVBZ whichhasbeds/WDTVBZNNS 58 shelter%1:06:00::
people/NNS who/WP sought/VBD in/IN caves/NNS such/JJ peoplewho/NNSWP whosought/WPVBD soughtin/VBDIN incaves/INNNS cavessuch/NNSJJ peoplewhosought/NNSWPVBD whosoughtin/WPVBDIN soughtincaves/VBDINNNS incavessuch/INNNSJJ 74 shelter%1:26:00::
ethic/VB beneath/IN the/DT of/IN an/DT increasingly/RB ethicbeneath/VBIN beneaththe/INDT theof/DTIN ofan/INDT anincreasingly/DTRB ethicbeneaththe/VBINDT beneaththeof/INDTIN theofan/DTINDT ofanincreasingly/INDTRB 94 shelter%1:26:00::
because/IN of/IN the/DT of/IN trees/NNS _/CD becauseof/ININ ofthe/INDT theof/DTIN oftrees/INNNS trees_/NNSCD becauseofthe/ININDT oftheof/INDTIN theoftrees/DTINNNS oftrees_/INNNSCD 63 shelter%1:06:01::
just/RB left/VBD the/DT of/IN my/PRP$ brolly/NN justleft/RBVBD leftthe/VBDDT theof/DTIN ofmy/INPRP$ mybrolly/PRP$NN justleftthe/RBVBDDT lefttheof/VBDDTIN theofmy/DTINPRP$ ofmybrolly/INPRP$NN 88 shelter%1:26:00::
taken/VBN in/IN the/DT of/IN Maryport/NNP Pier/NNP takenin/VBNIN inthe/INDT theof/DTIN ofMaryport/INNNP MaryportPier/NNPNNP takeninthe/VBNINDT intheof/INDTIN theofMaryport/DTINNNP ofMaryportPier/INNNPNNP 41 shelter%1:26:00::
barn/NN which/WDT provided/VBD from/IN the/DT weather/NN barnwhich/NNWDT whichprovided/WDTVBD providedfrom/VBDIN fromthe/INDT theweather/DTNN barnwhichprovided/NNWDTVBD whichprovidedfrom/WDTVBDIN providedfromthe/VBDINDT fromtheweather/INDTNN 82 shelter%1:06:01::
accommodation/NN under/IN the/DT of/IN the/DT reslated/VBN accommodationunder/NNIN underthe/INDT theof/DTIN ofthe/INDT thereslated/DTVBN accommodationunderthe/NNINDT undertheof/INDTIN theofthe/DTINDT ofthereslated/INDTVBN 153 shelter%1:06:01::
