out/IN of/IN UK/NNP income/NN he/PRP should/MD outof/ININ ofUK/INNNP UKincome/NNPNN incomehe/NNPRP heshould/PRPMD outofUK/ININNNP ofUKincome/INNNPNN UKincomehe/NNPNNPRP incomeheshould/NNPRPMD 33 source%1:15:00::
_/RB The/DT same/JJ reports/NNS that/IN 190/CD _The/RBDT Thesame/DTJJ samereports/JJNNS reportsthat/NNSIN that190/INCD _Thesame/RBDTJJ Thesamereports/DTJJNNS samereportsthat/JJNNSIN reportsthat190/NNSINCD 75 source%1:10:01::
on/IN as/RB many/JJ as/IN possible/JJ to/TO onas/INRB asmany/RBJJ manyas/JJIN aspossible/INJJ possibleto/JJTO onasmany/INRBJJ asmanyas/RBJJIN manyaspossible/JJINJJ aspossibleto/INJJTO 87 source%1:10:00::
on/IN as/RB many/JJ as/IN possible/JJ to/TO onas/INRB asmany/RBJJ manyas/JJIN aspossible/INJJ possibleto/JJTO onasmany/INRBJJ asmanyas/RBJJIN manyaspossible/JJINJJ aspossibleto/INJJTO 87 source%1:18:01::
_/NN A/NN vital/JJ of/IN first/JJ hand/NN _A/NNNN Avital/NNJJ vitalof/JJIN offirst/INJJ firsthand/JJNN _Avital/NNNNJJ Avitalof/NNJJIN vitaloffirst/JJINJJ offirsthand/INJJNN 79 source%1:18:01::
Of/IN course/NN all/DT of/IN information/NN must/MD Ofcourse/INNN courseall/NNDT allof/DTIN ofinformation/INNN informationmust/NNMD Ofcourseall/INNNDT courseallof/NNDTIN allofinformation/DTINNN ofinformationmust/INNNMD 52 source%1:10:00::
_/NN Among/IN the/DT she/PRP will/MD find/VB _Among/NNIN Amongthe/INDT theshe/DTPRP shewill/PRPMD willfind/MDVB _Amongthe/NNINDT Amongtheshe/INDTPRP theshewill/DTPRPMD shewillfind/PRPMDVB 121 source%1:10:01::
all/DT sorts/NNS of/IN _/NNP _/NNP _/NNP allsorts/DTNNS sortsof/NNSIN of_/INNNP __/NNPNNP __/NNPNNP allsortsof/DTNNSIN sortsof_/NNSINNNP of__/INNNPNNP ___/NNPNNPNNP 97 source%1:10:01::
from/IN the/DT old/JJ _/NNP _/NNP _/NNP fromthe/INDT theold/DTJJ old_/JJNNP __/NNPNNP __/NNPNNP fromtheold/INDTJJ theold_/DTJJNNP old__/JJNNPNNP ___/NNPNNPNNP 83 source%1:10:01::
they/PRP are/VBP a/DT of/IN specific/JJ qualities/NNS theyare/PRPVBP area/VBPDT aof/DTIN ofspecific/INJJ specificqualities/JJNNS theyarea/PRPVBPDT areaof/VBPDTIN aofspecific/DTINJJ ofspecificqualities/INJJNNS 99 source%1:09:00::
they/PRP are/VBP a/DT of/IN specific/JJ qualities/NNS theyare/PRPVBP area/VBPDT aof/DTIN ofspecific/INJJ specificqualities/JJNNS theyarea/PRPVBPDT areaof/VBPDTIN aofspecific/DTINJJ ofspecificqualities/INJJNNS 99 source%1:18:00::
extensive/JJ in/IN other/JJ ;/: the/DT painter/NN extensivein/JJIN inother/INJJ other;/JJ: ;the/:DT thepainter/DTNN extensiveinother/JJINJJ inother;/INJJ: other;the/JJ:DT ;thepainter/:DTNN 106 source%1:10:01::
thus/RB an/DT invaluable/JJ of/IN interpretation/NN _/NN thusan/RBDT aninvaluable/DTJJ invaluableof/JJIN ofinterpretation/INNN interpretation_/NNNN thusaninvaluable/RBDTJJ aninvaluableof/DTJJIN invaluableofinterpretation/JJINNN ofinterpretation_/INNNNN 96 source%1:10:00::
been/VBN a/DT rich/JJ of/IN material/NN for/IN beena/VBNDT arich/DTJJ richof/JJIN ofmaterial/INNN materialfor/NNIN beenarich/VBNDTJJ arichof/DTJJIN richofmaterial/JJINNN ofmaterialfor/INNNIN 114 source%1:18:00::
were/VBD the/DT only/RB of/IN education/NN apart/RB werethe/VBDDT theonly/DTRB onlyof/RBIN ofeducation/INNN educationapart/NNRB weretheonly/VBDDTRB theonlyof/DTRBIN onlyofeducation/RBINNN ofeducationapart/INNNRB 76 source%1:15:00::
on/IN a/DT divine/JJ _/NNP _/NNP _/NNP ona/INDT adivine/DTJJ divine_/JJNNP __/NNPNNP __/NNPNNP onadivine/INDTJJ adivine_/DTJJNNP divine__/JJNNPNNP ___/NNPNNPNNP 113 source%1:09:00::
on/IN a/DT divine/JJ _/NNP _/NNP _/NNP ona/INDT adivine/DTJJ divine_/JJNNP __/NNPNNP __/NNPNNP onadivine/INDTJJ adivine_/DTJJNNP divine__/JJNNPNNP ___/NNPNNPNNP 113 source%1:15:00::
