visual/JJ materials/NNS to/TO from/IN Japan/NNP to/TO visualmaterials/JJNNS materialsto/NNSTO tofrom/TOIN fromJapan/INNNP Japanto/NNPTO visualmaterialsto/JJNNSTO materialstofrom/NNSTOIN tofromJapan/TOINNNP fromJapanto/INNNPTO 77 audience%1:14:01::
reaches/VBZ a/DT mass/NN _/NNP _/NNP _/NNP reachesa/VBZDT amass/DTNN mass_/NNNNP __/NNPNNP __/NNPNNP reachesamass/VBZDTNN amass_/DTNNNNP mass__/NNNNPNNP ___/NNPNNPNNP 82 audience%1:14:01::
now/RB because/IN the/DT who/WP heard/VBD them/PRP nowbecause/RBIN becausethe/INDT thewho/DTWP whoheard/WPVBD heardthem/VBDPRP nowbecausethe/RBINDT becausethewho/INDTWP thewhoheard/DTWPVBD whoheardthem/WPVBDPRP 72 audience%1:14:00::
than/IN the/DT lecture/NN as/IN only/RB two/CD thanthe/INDT thelecture/DTNN lectureas/NNIN asonly/INRB onlytwo/RBCD thanthelecture/INDTNN thelectureas/DTNNIN lectureasonly/NNINRB asonlytwo/INRBCD 81 audience%1:14:00::
to/TO a/DT wide/JJ especially/RB artists/NNS _/CD toa/TODT awide/DTJJ wideespecially/JJRB especiallyartists/RBNNS artists_/NNSCD toawide/TODTJJ awideespecially/DTJJRB wideespeciallyartists/JJRBNNS especiallyartists_/RBNNSCD 76 audience%1:14:01::
announced/VBN to/TO an/DT of/IN eight/CD hundred/CD announcedto/VBNTO toan/TODT anof/DTIN ofeight/INCD eighthundred/CDCD announcedtoan/VBNTODT toanof/TODTIN anofeight/DTINCD ofeighthundred/INCDCD 52 audience%1:14:00::
a/DT wide/JJ newspaper/NN and/CC her/PRP$ articles/NNS awide/DTJJ widenewspaper/JJNN newspaperand/NNCC andher/CCPRP$ herarticles/PRP$NNS awidenewspaper/DTJJNN widenewspaperand/JJNNCC newspaperandher/NNCCPRP$ andherarticles/CCPRP$NNS 138 audience%1:14:01::
member/NN of/IN the/DT are/VBP vitally/RB connected/VBN memberof/NNIN ofthe/INDT theare/DTVBP arevitally/VBPRB vitallyconnected/RBVBN memberofthe/NNINDT oftheare/INDTVBP thearevitally/DTVBPRB arevitallyconnected/VBPRBVBN 128 audience%1:14:00::
part/NN of/IN the/DT you/PRP are/VBP as/IN partof/NNIN ofthe/INDT theyou/DTPRP youare/PRPVBP areas/VBPIN partofthe/NNINDT oftheyou/INDTPRP theyouare/DTPRPVBP youareas/PRPVBPIN 114 audience%1:14:00::
hoping/VBG that/IN the/DT will/MD give/VB adequate/JJ hopingthat/VBGIN thatthe/INDT thewill/DTMD willgive/MDVB giveadequate/VBJJ hopingthatthe/VBGINDT thatthewill/INDTMD thewillgive/DTMDVB willgiveadequate/MDVBJJ 103 audience%1:14:00::
_/FW Invite/FW the/DT to/TO listen/VB to/TO _Invite/FWFW Invitethe/FWDT theto/DTTO tolisten/TOVB listento/VBTO _Invitethe/FWFWDT Invitetheto/FWDTTO thetolisten/DTTOVB tolistento/TOVBTO 57 audience%1:14:00::
